,geohash,longitude,latitude
1236,ezjq5c5r,-3.6977577209472656,40.43646812438965
1240,ezjq5crq,-3.6922645568847656,40.43766975402832
1247,ezjqh0b8,-3.6905479431152344,40.43389320373535
1250,ezjqh19e,-3.6891746520996094,40.438528060913086
1256,ezjq5bvg,-3.694324493408203,40.43440818786621
1258,ezjqh0fz,-3.687458038330078,40.43509483337402
1259,ezjqh1fp,-3.688488006591797,40.44058799743652
1262,ezjq5fnw,-3.6932945251464844,40.441789627075195
1263,ezjqh166,-3.6881446838378906,40.43698310852051
1264,ezjq5c7k,-3.6977577209472656,40.437326431274414
1266,ezjq5cek,-3.6977577209472656,40.43869972229004
1267,ezjq5ch9,-3.6960411071777344,40.43543815612793
1268,ezjq5cpu,-3.691577911376953,40.43595314025879
1275,ezjq5cnh,-3.693981170654297,40.43595314025879
1277,ezjqh41n,-3.689861297607422,40.441789627075195
1278,ezjqh1fg,-3.687458038330078,40.43990135192871
1284,ezjqh1eq,-3.6867713928222656,40.439043045043945
1288,ezjqh44s,-3.6878013610839844,40.44144630432129
1300,ezjq5fny,-3.692951202392578,40.441789627075195
1301,ezjqh41z,-3.688831329345703,40.44196128845215
1304,ezjq5ctn,-3.695354461669922,40.439043045043945
1305,ezjqh1u2,-3.6853981018066406,40.43938636779785
1319,ezjqh44c,-3.687458038330078,40.44093132019043
1321,ezjqh1g7,-3.6867713928222656,40.43990135192871
1322,ezjqh14q,-3.6881446838378906,40.436296463012695
1334,ezjq5cht,-3.6960411071777344,40.43612480163574
1341,ezjqh1c9,-3.6891746520996094,40.439558029174805
1348,ezjqh1uq,-3.6853981018066406,40.44041633605957
1349,ezjq5byk,-3.6936378479003906,40.434579849243164
1352,ezjqh1ur,-3.6853981018066406,40.44058799743652
1353,ezjq5c56,-3.6977577209472656,40.43560981750488
1361,ezjqh1fv,-3.687458038330078,40.44024467468262
1363,ezjq5cp5,-3.692607879638672,40.435781478881836
1377,ezjq5fjz,-3.694324493408203,40.44196128845215
1388,ezjq5bg3,-3.6977577209472656,40.434064865112305
1390,ezjqh150,-3.687114715576172,40.43526649475098
1392,ezjqh1ej,-3.687114715576172,40.43887138366699
1393,ezjqh1e5,-3.687114715576172,40.438528060913086
1395,ezjq5crf,-3.691577911376953,40.43698310852051
1406,ezjq5ce7,-3.6977577209472656,40.438528060913086
1416,ezjqh139,-3.6891746520996094,40.436811447143555
1420,ezjq5fj5,-3.695354461669922,40.441274642944336
1422,ezjqh19u,-3.688831329345703,40.43869972229004
1425,ezjqh0g5,-3.687114715576172,40.43440818786621
1428,ezjqh17g,-3.686084747314453,40.43715476989746
1437,ezjqh1d7,-3.6881446838378906,40.438528060913086
1438,ezjqh1u0,-3.685741424560547,40.43938636779785
1439,ezjqh4h2,-3.6853981018066406,40.44075965881348
1442,ezjqh1fn,-3.688488006591797,40.44041633605957
1447,ezjqh19s,-3.6891746520996094,40.43869972229004
1467,ezjq5cyk,-3.6936378479003906,40.440073013305664
1469,ezjq5bsj,-3.696727752685547,40.43337821960449
