"gps_geohash_08","gps_ghash_lon","gps_ghash_lat","mean_dbm","events"
"ezjqh11c","-3.6888313","40.43544","-82.78290282902829","1627"
"ezjqh0gz","-3.6860847","40.435097","-88.5250773993808","1622"
"ezjqh112","-3.689518","40.435265","-93.40632754342431","1618"
"ezjqh1e1","-3.6871147","40.438187","-103.97704714640199","1612"
"ezjq5cpe","-3.6919212","40.435783","-78.59153175591531","1608"
"ezjq5bzx","-3.6919212","40.435097","-93.2077354959451","1607"
"ezjq5f5e","-3.6974144","40.441277","-97.12468827930175","1607"
"ezjq5ch2","-3.6963844","40.435265","-85.54868913857678","1605"
"ezjqh18m","-3.6908913","40.438873","-80.96627108057464","1605"
"ezjq5fn1","-3.6939812","40.440933","-94.73262366938009","1597"
"ezjq5bzc","-3.691578","40.434067","-95.55974842767296","1590"
"ezjqh108","-3.690548","40.435265","-87.86366518706404","1581"
"ezjq5czz","-3.691578","40.44059","-84.86717267552181","1581"
"ezjq5fpw","-3.6919212","40.441788","-76.76376440460947","1570"
"ezjqh11e","-3.6891747","40.435783","-84.65939704939063","1560"
"ezjq5fhd","-3.696041","40.4411","-103.88451612903226","1553"
"ezjqh183","-3.6908913","40.438187","-79.57787958115183","1532"
"ezjqh0b4","-3.6912346","40.434235","-89.91897233201581","1520"
"ezjq5cxt","-3.6919212","40.438873","-83.59300791556728","1517"
"ezjqh16w","-3.6878014","40.437668","-90.13011889035667","1514"
"ezjqh189","-3.690548","40.438187","-77.5287888815354","1511"
"ezjqh16g","-3.687458","40.437157","-105.44710578842316","1503"
"ezjqh15x","-3.686428","40.43647","-83.048322147651","1492"
"ezjq5cm8","-3.6946678","40.436638","-91.09328859060403","1492"
"ezjq5ct6","-3.6950111","40.438354","-88.29284750337382","1486"
"ezjqh177","-3.6867714","40.437157","-106.25050505050505","1485"
"ezjqh12v","-3.6902046","40.4375","-74.91970310391363","1484"
"ezjqh0cz","-3.6888313","40.435097","-82.8660351826793","1483"
"ezjqh0er","-3.6867714","40.433723","-78.05962059620596","1481"
"ezjqh10b","-3.6902046","40.435265","-92.14120841819417","1477"
"ezjqh140","-3.688488","40.435265","-73.73183978275628","1475"
"ezjq5cme","-3.6946678","40.437157","-93.011088011088","1458"
"ezjq5cpb","-3.691578","40.435265","-84.66344160331721","1451"
"ezjqh11f","-3.6888313","40.435608","-84.88597097442985","1451"
"ezjqh0fp","-3.688488","40.435097","-76.49653259361997","1446"
"ezjq5cyy","-3.6929512","40.440414","-91.82554082344731","1443"
"ezjqh15w","-3.686428","40.436295","-83.42348008385744","1431"
"ezjq5cy3","-3.6936378","40.43956","-96.6811797752809","1424"
"ezjqh0em","-3.6867714","40.43338","-79.8194640338505","1420"
"ezjqh16p","-3.688488","40.437843","-85.48478414720454","1419"
"ezjq5buz","-3.6956978","40.435097","-82.53125","1412"
"ezjq5cgz","-3.697071","40.44059","-94.95525568181819","1410"
"ezjqh0g3","-3.6867714","40.434067","-75.15849324804549","1409"
"ezjqh1b1","-3.6912346","40.43956","-78.94598436389481","1409"
"ezjq5f5x","-3.6974144","40.441963","-94.34763948497854","1403"
"ezjq5cuw","-3.696041","40.440414","-97.13233190271816","1399"
"ezjq5cs9","-3.696041","40.438187","-84.93036611629576","1395"
"ezjq5ch7","-3.6963844","40.435783","-96.79481641468682","1394"
"ezjq5ck6","-3.6963844","40.43698","-88.6743515850144","1389"
"ezjqh13p","-3.6898613","40.437843","-78.31091829356471","1387"
"ezjqh131","-3.6898613","40.436813","-74.97612156295224","1382"
"ezjqh17s","-3.686428","40.437325","-88.55563636363637","1378"
"ezjqh17t","-3.686428","40.4375","-89.23743627093955","1376"
"ezjq5fht","-3.696041","40.44162","-91.8983174835406","1374"
"ezjqh158","-3.686428","40.435265","-79.98390636430139","1371"
"ezjqh1b4","-3.6912346","40.439728","-79.29540481400437","1371"
"ezjq5fh8","-3.696041","40.440758","-98.19442406456346","1366"
"ezjqh0ur","-3.685398","40.435097","-99.27279411764705","1362"
"ezjq5cwy","-3.6929512","40.43904","-89.17381656804734","1354"
"ezjqh15d","-3.686428","40.435608","-82.18385650224215","1338"
"ezjqh102","-3.6908913","40.435265","-81.84036144578313","1329"
"ezjq5ck9","-3.696041","40.436813","-98.38694992412746","1329"
"ezjqh178","-3.686428","40.436638","-84.67226890756302","1311"
"ezjqh12g","-3.6902046","40.437157","-74.68388589051658","1301"
"ezjq5fhy","-3.6956978","40.441788","-82.7968992248062","1299"
"ezjqh11d","-3.6891747","40.435608","-85.8560371517028","1295"
"ezjqh0eq","-3.6867714","40.433548","-78.49805749805749","1292"
"ezjqh1kr","-3.685398","40.437843","-81.9163439194423","1291"
"ezjq5fps","-3.6919212","40.441444","-79.34627329192547","1288"
"ezjq5fpd","-3.6919212","40.4411","-81.94863813229571","1288"
"ezjq5fjj","-3.6953545","40.44162","-76.51517509727627","1287"
"ezjqh1b0","-3.6912346","40.439384","-79.66848673946959","1282"
"ezjqh18d","-3.690548","40.438354","-78.48475371383894","1279"
"ezjqh1d9","-3.6878014","40.438187","-90.02276295133439","1274"
"ezjqh184","-3.6912346","40.438354","-80.48818897637796","1274"
"ezjq5buu","-3.6956978","40.434578","-87.18239492466297","1272"
"ezjqh1d0","-3.688488","40.43801","-85.11207576953433","1271"
"ezjq5bv7","-3.6950111","40.43441","-92.66479099678456","1269"
"ezjq5cps","-3.6919212","40.43595","-86.86887835703001","1268"
"ezjq5cq2","-3.6936378","40.436638","-100.65481832543443","1267"
"ezjq5czy","-3.691578","40.440414","-85.586887835703","1266"
"ezjq5fjf","-3.6943245","40.4411","-85.1437598736177","1266"
"ezjq5bz6","-3.6922646","40.434235","-91.23416198877305","1252"
"ezjqh11q","-3.689518","40.436295","-81.76220976781426","1251"
"ezjq5chq","-3.6963844","40.436295","-95.81092094539527","1227"
"ezjq5bzb","-3.691578","40.43389","-99.59657701711491","1227"
"ezjq5cjw","-3.6946678","40.436295","-87.25723738626965","1223"
"ezjqh18q","-3.6908913","40.43904","-79.28830313014826","1214"
"ezjqh15s","-3.686428","40.43595","-84.63305785123967","1210"
"ezjqh17e","-3.686428","40.437157","-87.80881130507066","1205"
"ezjqh12y","-3.6902046","40.437668","-76.26655490360436","1201"
"ezjqh179","-3.686428","40.436813","-86.14858096828047","1198"
"ezjq5fns","-3.6932945","40.441444","-81.14261603375527","1188"
"ezjq5ck7","-3.6963844","40.437157","-87.88105352591334","1177"
"ezjq5fp9","-3.6919212","40.440933","-82.79028132992327","1175"
"ezjq5fhe","-3.696041","40.441277","-103.63776824034335","1171"
"ezjqh17d","-3.686428","40.43698","-87.08419243986255","1166"
"ezjq5chk","-3.6963844","40.43595","-95.35941530524505","1164"
"ezjq5fhv","-3.6956978","40.44162","-84.38879310344828","1160"
"ezjq5cms","-3.6946678","40.437325","-97.95446584938703","1155"
"ezjq5c5f","-3.697071","40.435608","-101.3304423243712","1153"
"ezjq5byw","-3.6932945","40.43492","-92.64834205933683","1148"
"ezjq5cqb","-3.6929512","40.436638","-98.36435469710273","1144"
"ezjqh1db","-3.687458","40.43801","-93.01224846894138","1143"
"ezjqh11s","-3.6891747","40.43595","-83.38339222614842","1135"
"ezjqh15t","-3.686428","40.436127","-84.83142100617829","1135"
"ezjq5ckb","-3.6956978","40.436638","-107.71706454465075","1134"
"ezjq5bxr","-3.6922646","40.433723","-101.95575221238938","1130"
"ezjqh0cr","-3.689518","40.435097","-95.49866429207479","1127"
"ezjqh14v","-3.687458","40.436127","-77.95807314897414","1126"
"ezjq5cge","-3.6974144","40.439903","-95.14959928762244","1125"
"ezjqh0uj","-3.6857414","40.434753","-106.16979445933869","1119"
"ezjqh1b5","-3.6912346","40.439903","-80.00269541778975","1114"
"ezjq5cu9","-3.696041","40.43956","-92.62725631768953","1108"
"ezjq5cg9","-3.6974144","40.43956","-83.90415913200724","1106"
"ezjqh19t","-3.6891747","40.438873","-93.71047430830039","1104"
"ezjqh0br","-3.6908913","40.435097","-82.26","1100"
"ezjqh130","-3.6898613","40.436638","-78.44131028207461","1099"
"ezjqh0g6","-3.6867714","40.434235","-77.79817351598173","1096"
"ezjq5fjg","-3.6943245","40.441277","-77.28584558823529","1088"
"ezjqh0cp","-3.6898613","40.435097","-95.67625231910947","1086"
"ezjqh13z","-3.6888313","40.437843","-82.31603336422613","1079"
"ezjqh159","-3.686428","40.43544","-81.2360594795539","1077"
"ezjq5ckk","-3.6963844","40.437325","-86.375","1075"
"ezjqh1d2","-3.6881447","40.43801","-86.16775396085741","1073"
"ezjqh1e0","-3.6871147","40.43801","-98.60037348272643","1071"
"ezjq5by9","-3.6932945","40.434067","-96.04770813844715","1071"
"ezjqh134","-3.6898613","40.43698","-72.47136150234742","1066"
"ezjqh0dj","-3.688488","40.43338","-86.35137701804368","1053"
"ezjq5chm","-3.6963844","40.436127","-94.50429799426934","1049"
"ezjqh0b0","-3.6912346","40.43389","-83.38616714697406","1044"
"ezjq5bvh","-3.6953545","40.434578","-88.3401559454191","1037"
"ezjq5f5u","-3.697071","40.441444","-105.0415458937198","1035"
"ezjq5fp5","-3.6926079","40.441277","-76.06092843326886","1035"
"ezjqh0b5","-3.6912346","40.43441","-88.35624394966118","1033"
"ezjq5cwv","-3.6929512","40.438873","-92.1374269005848","1033"
"ezjq5bgw","-3.6974144","40.43492","-83.24658869395712","1032"
"ezjqh145","-3.688488","40.435783","-87.95878312070657","1029"
"ezjq5fpc","-3.691578","40.440933","-84.39100684261975","1027"
"ezjqh143","-3.6881447","40.43544","-75.78823529411764","1022"
"ezjqh0dn","-3.688488","40.433548","-87.16274509803921","1021"
"ezjq5cy4","-3.6939812","40.439728","-100.05402750491159","1018"
"ezjqh13r","-3.689518","40.437843","-77.54088669950738","1015"
"ezjqh141","-3.688488","40.43544","-80.55478775913129","1014"
"ezjq5f59","-3.6974144","40.440933","-95.3026706231454","1012"
"ezjqh0f0","-3.688488","40.43389","-86.35148514851485","1011"
"ezjqh0uq","-3.685398","40.43492","-105.14271457085829","1003"
"ezjqh0bz","-3.6902046","40.435097","-90.96683417085427","1000"
"ezjq5ct8","-3.6946678","40.43801","-92.70210631895687","999"
"ezjq5buq","-3.6963844","40.43492","-80.28284854563691","999"
"ezjq5cm9","-3.6946678","40.436813","-93.19556451612904","992"
"ezjqh14s","-3.6878014","40.43595","-80.4585020242915","992"
"ezjqh0dp","-3.688488","40.433723","-87.24141414141414","990"
"ezjqh08j","-3.6912346","40.43338","-80.51870576339738","990"
"ezjq5cgv","-3.697071","40.440247","-95.7580971659919","988"
"ezjq5cmk","-3.6950111","40.437325","-93.76116303219106","985"
"ezjq5fjq","-3.6950111","40.441788","-71.97857142857143","984"
"ezjq5cmx","-3.6946678","40.437843","-98.43119266055047","983"
"ezjq5fhx","-3.696041","40.441963","-101.43177189409369","982"
"ezjq5cjx","-3.6946678","40.43647","-87.62192622950819","982"
"ezjqh18p","-3.6912346","40.439217","-81.12219959266803","982"
"ezjqh13h","-3.6898613","40.437325","-75.01135190918473","979"
"ezjqh1e8","-3.686428","40.43801","-94.3640081799591","978"
"ezjqh118","-3.6891747","40.435265","-89.63542739443872","975"
"ezjq5fpx","-3.6919212","40.441963","-77.81243523316063","968"
"ezjq5f5d","-3.6974144","40.4411","-94.96576763485477","966"
"ezjqh119","-3.6891747","40.43544","-86.7139896373057","966"
"ezjq5ch8","-3.696041","40.435265","-94.10706860706861","964"
"ezjqh0gw","-3.686428","40.43492","-79.6610703043022","959"
"ezjqh11r","-3.689518","40.43647","-80.32254697286012","959"
"ezjqh13j","-3.6898613","40.4375","-76.21413502109705","956"
"ezjq5cqf","-3.6929512","40.43698","-102.53886554621849","952"
"ezjq5ckq","-3.6963844","40.437668","-82.88947368421053","951"
"ezjqh153","-3.6867714","40.43544","-81.2431289640592","949"
"ezjq5bz1","-3.6926079","40.434067","-103.2577873254565","948"
"ezjq5fjs","-3.6946678","40.441444","-71.71277719112989","947"
"ezjqh12t","-3.690548","40.4375","-77.65783898305085","945"
"ezjq5cud","-3.696041","40.439728","-97.5980911983033","943"
"ezjq5c78","-3.6974144","40.436638","-99.75876726886291","943"
